主頻,#genre#
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_1/chunklist.m3u8*~hmac=91a79f89ab6475a9ebdb69c9ff188cae5c1ae81d1afde64daecd53e989c9bfc3
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_2/chunklist.m3u8*~hmac=34c6c254e7df415612fbc4534d54b5e7ccb6d1174b17a27d2a639798d9765173
三立都會,http://211.23.114.106:8520/http/60.251.39.91:8081/hls/65/807/ch19.m3u8
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_1/chunklist.m3u8*~hmac=89f79f6442fed7c3b4bc9388123ebb72802d3aa1a6129f24d1a6d59f4fad72dd
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_2/chunklist.m3u8*~hmac=4d5a5a64d3a2099102a144761bc8c65b0f79b9b0421e984cbba7dde5dec1ccd3
衛視中文,http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8?tid=MA8A7894022878940228&ct=19226&tsum=c0323ce59263e0096d4181626874e17c
衛視中文,http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8?tid=MB7B8325601583256015&ct=19249&tsum=88f84634240050b869fbbe8cfeb43cc7
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
東森超視,rtmp://9tv3.mine.nu/sat/tv331 
東森超視,rtmp://9svd4.mine.nu/sat/tv331 
東森超視,http://198.16.100.90:8278/ettvsuper/playlist.m3u8?tid=MB0B9022098390220983&ct=19249&tsum=594e3a93afe766cf27fd21b8addee391 
東森超視,http://198.16.100.90:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
東森超視,rtmp://9tv2.mine.nu/sat/tv331 
東森購物2台,http://tv.tvvboxes.uk/tvbox/raw.php?id=34.m3u8
momo購物2台,http://tv.tvvboxes.uk/tvbox/raw.php?id=35.m3u8
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=MBBB1520797915207979&ct=19193&tsum=3a6f7f0c591c2ec6678d51b741f290b2 
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=MB6B3888954738889547&ct=19254&tsum=d0cb922e44e8a16bea598530697c581e 
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
東風37,http://60.251.33.252:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
東風37,http://123.51.229.65:18560/http/116.50.42.18:8081/hls/68/810/ch31.m3u8
年代MUCH,http://61.221.81.93:8078/hls/27/80/much.m3u8
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=m6780c60bd34a13540795&ct=17874&tsum=06089e289a460b0685447b7656d550e3
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MA8A3069789530697895&ct=19193&tsum=20c49fe9e15ad366c6e32b141f03bf8a
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MC9C7081133170811331&ct=19249&tsum=8b08b54208f3ee30e12f419d587f46ac
東森戲劇,http://162.19.247.76:22222/live/dsxj/index.m3u8
東森戲劇,http://60.251.33.252:18538/http/192.168.1.9:8081/hls/64/806/ch13.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
八大戲劇,http://220.134.196.147:9543/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
TVBS歡樂,rtmp://219.80.97.77/sat/tv421
TVBS歡樂,rtmp://119.81.124.89/sat/tv421
緯來戲劇,http://220.134.196.147:9542/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
緯來綜合,http://123.51.229.65:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
緯來綜合,http://60.251.33.252:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
緯來綜合,http://220.134.196.147:9518/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbbae9a364979295fd690f7d
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
大愛一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛一台,http://tv.tvvboxes.uk/tvbox/raw.php?id=46.m3u8
大愛二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛二台,http://tv.tvvboxes.uk/tvbox/raw.php?id=47.m3u8
寰宇新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=48.m3u8
壹電視新聞,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
華視新聞資訊,http://stream.dsichannel.com/hls/cts-news.m3u8
東森新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv152
東森新聞,http://211.23.114.106:8510/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞,http://www.terrykang.xyz:35455/youtube/S5WOGu2HSes
東森新聞,http://ceshi.huanqiuzhibo.cn/accv.php?id=ettvnews
東森新聞,http://220.135.124.158:8088/live/51_h265.ts
中天新聞,http://tv.tvvboxes.uk/tvbox/raw.php?id=52.m3u8
中天新聞,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8
民視新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=53.m3u8
民視新聞ᴴᴰ,http://220.134.196.147:9514/http/116.50.42.18:8081/hls/73/815/ch51.m3u8
三立新聞,http://tv.942188.xyz/live.php?id=54
三立新聞,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立新聞,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://220.134.196.147:9502/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://220.135.124.158:8088/live/54_h265.ts
三立新聞,http://tv.tvvboxes.uk/tvbox/raw.php?id=54.m3u8
三立新聞,http://138.2.63.32:9500/live.m3u8?c=1
TVBS新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv072
TVBS新聞,http://tv.942188.xyz/live.php?id=55
TVBS新聞,http://220.134.196.147:8542/http/116.50.42.19:8081/hls/75/817/ch59.m3u8
TVBS新聞,rtmp://9svd1.mine.nu/sat/tv551
TVBS新聞,rtmp://9svd2.mine.nu/sat/tv551
TVBS新聞,rtmp://9svd3.mine.nu/sat/tv551
TVBS新聞,rtmp://9svd4.mine.nu/sat/tv551
中天新聞2台,http://tv.tvvboxes.uk/tvbox/raw.php?id=522.m3u8
東森財經,http://tv.tvvboxes.uk/tvbox/raw.php?id=57.m3u8
東森財經,rtmp://219.80.97.77/sat/tv571
東森財經,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經,http://60.251.33.252:18515/.m3u8
viva購物1台,http://tv.tvvboxes.uk/tvbox/raw.php?id=58.m3u8
viva購物1台,http://tv.94itv.cf/live.php?id=59
鏡新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=59.m3u8
鏡新聞ᴴᴰ,https://raw.githubusercontent.com/killme1206/YTM/main/27.m3u8
momo購物1台,http://tv.tvvboxes.uk/tvbox/raw.php?id=60.m3u8
衛視電影,http://211.23.114.106:8501/http/116.50.42.19:8081/hls/62/804/ch07.m3u8
衛視電影,http://220.134.196.147:9538/http/116.50.42.18:8081/hls/62/804/ch07.m3u8
衛視電影,http://61.221.81.93:8523/hls/65/807/ch843.m3u8
衛視電影,http://123.51.230.124:8536/http/116.50.42.18:8081/hls/62/804/ch07.m3u8
衛視電影,http://218.32.47.179:18553/.m3u8
衛視電影,http://218.32.47.179:18553/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
東森電影,http://162.19.247.76:22222/live/dsdyt/index.m3u8
東森電影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
東森電影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
東森電影,http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
東森電影,http://120.84.96.89:808/hls/32/index.m3u8
緯來電影台,http://198.16.100.90:8278/videolandmovie/playlist.m3u8?tid=ma2dac66da407&ct=18335&tsum=9a5a39559f64a71081ef9b3a85f2886c
緯來電影台,http://198.16.100.90:8278/videolandmovie/playlist.m3u8?tid=MEAE6426585564265855&ct=19377&tsum=5f2b2c268f1a04fcc1ab4f357b8afc7f
龍祥電影,http://198.16.100.90:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
龍祥電影,http://198.16.100.90:8278/lungxiangtime_twn/playlist.m3u8?tid=MFFF9299444992994449&ct=19226&tsum=98d6988c4c94e299cb1c151856c909a8
龍祥電影,http://198.16.100.90:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
龍祥電影,http://120.84.96.73:808/hls/35/index.m3u8
龍祥電影,http://120.84.96.89:808/hls/35/index.m3u8
龍祥電影,http://50.7.238.114:8278/lungxiangtime_twn/playlist.m3u8?tid=MFFF9299444992994449&ct=19226&tsum=98d6988c4c94e299cb1c151856c909a8
HBOᴴᴰ,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBOᴴᴰ,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=m8d785f4e022616401837&ct=17877&tsum=56e767abfc65234db52b017576b00403
HBOᴴᴰ,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
HBOᴴᴰ,http://198.16.100.90:8278/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBOᴴᴰ,http://220.134.196.147:9520/http/116.50.42.18:8081/hls/71/813/ch41.m3u8
東森洋片,http://162.19.247.76:22222/live/dsypt/index.m3u8
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MC2C7134276471342764&ct=19225&tsum=4889d0c08d077336bd5066b912891aee
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=mfdfc048e6c2416337202&ct=17874&tsum=cad39b26202d525ea820bee1d69e545f
東森洋片,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MB7B8303252483032524&ct=19249&tsum=14f89967cdf6c504230be29a87cc54f0
AXN,http://198.16.100.90:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
AXN,http://50.7.238.114:8278/axn_twn/playlist.m3u8?tid=m1776995e9b3e16458394&ct=17874&tsum=b8a111d0b13c7761ce8b4e8f047adddb
AXN,http://50.7.238.114:8278/axn_twn/playlist.m3u8?tid=MA1A8358225083582250&ct=19193&tsum=105511aaad1c3ff86d7489e83e18b209
好萊塢電影,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
好萊塢電影,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=m39bfcd99239617992917&ct=17874&tsum=774ffa7546c934dc27e743c5bbb454d3
好萊塢電影,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MF6F7143280071432800&ct=19211&tsum=c0bc00f05a03eb1bef16741e9fd9737e
好萊塢電影,http://50.7.238.114:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
好萊塢電影,http://50.7.238.114:8278/hollywoodmovies_twn/playlist.m3u8?tid=m39bfcd99239617992917&ct=17874&tsum=774ffa7546c934dc27e743c5bbb454d3
好萊塢電影,http://50.7.238.114:8278/hollywoodmovies_twn/playlist.m3u8?tid=MF6F7143280071432800&ct=19211&tsum=c0bc00f05a03eb1bef16741e9fd9737e
CINEMAX,http://198.16.100.90:8278/cinemax_twn/playlist.m3u8?tid=MCEC1614519816145198&ct=19193&tsum=e635ddeeb683b5cbcda1319d0cc18f84
CINEMAX,http://50.7.238.114:8278/cinemax_twn/playlist.m3u8?tid=MCEC1614519816145198&ct=19193&tsum=e635ddeeb683b5cbcda1319d0cc18f84
CINEMAX,http://123.51.230.64:18559/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
星衛電影,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
星衛電影,http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=ma80888ed462f18082236&ct=17874&tsum=2824e7b9d4ec19ce7b4f8f69d23d7ceb
緯來日本,http://60.251.59.180:8513/http/116.50.42.18:8081/hls/69/811/ch34.m3u8 
緯來日本,http://50.7.238.114:8278/videolandjapan/playlist.m3u8?tid=MBAB7250273772502737&ct=19344&tsum=2b580b485643235654de4a1bbc9639cb
緯來日本,rtmp://9tv2.mine.nu/sat/tv771 
緯來日本,rtmp://9tv3.mine.nu/sat/tv771 
緯來日本,rtmp://9svd4.mine.nu/sat/tv771 
緯來日本,http://198.16.100.90:8278/videolandjapan/playlist.m3u8?tid=MBAB7250273772502737&ct=19344&tsum=2b580b485643235654de4a1bbc9639cb 
緯來日本,http://198.16.100.90:8278/videolandjapan/playlist.m3u8?tid=MBEB7017910870179108&ct=19346&tsum=f7186077b9ae7cdb1970969bd90a4d0a
緯來日本,rtmp://119.81.124.89/sat/tv771
HBO原創鉅獻,http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO原創鉅獻,http://50.7.238.114:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
HBO原創鉅獻,http://50.7.238.114:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO強檔鉅獻,http://198.16.100.90:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
HBO強檔鉅獻,http://50.7.238.114:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93
HBO溫馨家庭,http://198.16.100.90:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO溫馨家庭,http://198.16.100.90:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO溫馨家庭,http://198.16.100.90:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO溫馨家庭,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO溫馨家庭,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO溫馨家庭,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853



新聞,#genre#

中視新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=01.m3u8
靖天電視,http://tv.tvvboxes.uk/tvbox/raw.php?id=02.m3u8
台視新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=09.m3u8
華視-包青天,http://tv.tvvboxes.uk/tvbox/raw.php?id=12.m3u8
Disney Junior,http://tv.tvvboxes.uk/tvbox/raw.php?id=23.m3u8
momokids親子台,http://tv.tvvboxes.uk/tvbox/raw.php?id=24.m3u8
YOYO TV,http://tv.tvvboxes.uk/tvbox/raw.php?id=25.m3u8
東森購物2台,http://tv.tvvboxes.uk/tvbox/raw.php?id=34.m3u8
momo購物2台,hhttp://tv.tvvboxes.uk/tvbox/raw.php?id=35.m3u8
大愛一台,http://tv.tvvboxes.uk/tvbox/raw.php?id=46.m3u8
大愛二台,http://tv.tvvboxes.uk/tvbox/raw.php?id=47.m3u8
寰宇新聞台ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=48.m3u8
東森新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=51.m3u8
中天新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=52.m3u8
中天新聞2台,http://tv.tvvboxes.uk/tvbox/raw.php?id=522.m3u8
民視新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=53.m3u8
三立新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=54.m3u8
Tvbs新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=55.m3u8
東森財經新聞台,http://tv.tvvboxes.uk/tvbox/raw.php?id=57.m3u8
viva購物1台,http://tv.tvvboxes.uk/tvbox/raw.php?id=58.m3u8
鏡新聞,http://tv.tvvboxes.uk/tvbox/raw.php?id=59.m3u8
東森購物5台,http://tv.tvvboxes.uk/tvbox/raw.php?id=60.m3u8
新唐人亞太電視台,http://tv.tvvboxes.uk/tvbox/raw.php?id=a1.m3u8

秒播1,#genre#

民視台灣台,http://a03.icqii.com/litv.php?id=4gtv-4gtv001 
民視,http://a03.icqii.com/litv.php?id=4gtv-4gtv002
民視第一台,http://a03.icqii.com/litv.php?id=4gtv-4gtv003
民視綜藝,http://a03.icqii.com/litv.php?id=4gtv-4gtv004
豬哥亮歌廳秀,http://a03.icqii.com/litv.php?id=4gtv-4gtv006 
中天新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv009
非凡新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv010
影迷數位電影台,http://a03.icqii.com/litv.php?id=4gtv-4gtv011
視納華仁紀實頻道,http://a03.icqii.com/litv.php?id=4gtv-4gtv013
時尚運動X,http://a03.icqii.com/litv.php?id=4gtv-4gtv014
GLOBETROTTER,http://a03.icqii.com/litv.php?id=4gtv-4gtv016
amc電影台,http://a03.icqii.com/litv.php?id=4gtv-4gtv017 
/達文西頻道,http://a03.icqii.com/litv.php?id=4gtv-4gtv018
